Job No.,Date,Location,Address,Method,Cost,Proof Type,Proof Ref,Payment Date,,,,
985323,29/08/2017,N7 6AX,"Superdrug,Units 1-4, Trinity Parade High Street Hounslow Middlesex,TW3 1HG", ,£12.30,,,06/10/17,,,,
970539,04/09/2017,SW12 8BG,"Poundland Limited,Limited 163-165 Balham High Road Balham,SW12 8BG", ,£6.05,,,06/10/17,,,,
985276,05/09/2017,HA1 2TA,"Superdrug,297-301, Station Rd Harrow Middlesex,HA1 2TA", ,£17.55,,,06/10/17,,,,
966946,06/09/2017,SW11 1PA,"Paperchase Limited ,62 Northcote Road Northcote Road,SW11 1PA", ,£1.50,,,06/10/17,,,,
987941,07/09/2017,W13 0SA,"Wilkinson Group PLC,90- 94 The Broadway West Ealing,W13 0SA", ,£4.50,,,06/10/17,,,,
974102,11/09/2017,SW19 8UG,"Homebase Group Limited,Weir Road, Wimbledon, London,SW19 8UG", ,£3.60,,,06/10/17,,,,
974103,12/09/2017,TW18 3AP,"Homebase Group Limited,The Causeway, Staines,TW18 3AP", ,£14.80,,,06/10/17,,,,
957597,14/09/2017,SW20 0AX,"Co-Op Group Limited, Retail (Raynes Park) 68 - 74 Coombe Lane Raynes Park London, SW20 0AX", ,£6.10,,,06/10/17,,,,
961097,17/09/2017,SW1X 7RJ,"Harvey Nichols Group Limited,109 - 125 Knightsbridge London,SW1X 7RJ", ,£6.10,,,06/10/17,,,,
966957,19/09/2017,W4 5TA,"Paperchase Limited ,346 - 348 High Road Chiswick London,W4 5TA", ,£4.35,,,03/11/17,,,,
955181,27/09/2017,SW6 1NJ,"Co-Op Group Limited,Retail (fulham North End Road) North End Road London,SW6 1NJ", ,£0.00,,,03/11/17,,,,
962393,28/09/2017,WC1E 6EQ,"Waterstones Booksellers Limited,82 Gower Street London,WC1E 6EQ", ,£3.90,,,03/11/17,,,,
974115,03/10/2017,SE6 3NU,"Homebase Group Limited,10 Beckenham Hill Road, Catford,SE6 3NU", ,£7.85,,,03/11/17,,,,
980672,04/10/2017,SW15 1RB ,"Poundland Limited,78-80 High Street The Exchange Putney London,SW15 1RB ", ,£0.00,,,03/11/17,,,,
974118,11/10/2017,KT3 3SW,"Homebase Group Limited,Kingston, 229-253 Kingston Road, New Malden,KT3 3SW", ,£6.85,,,03/11/17,,,,
